Date,China,Hong-Kong,Indonesia,Japan,South_Korea,Malaysia,Phillipines,Singapore,Taiwan,Thailand,Vietnam
02/2015,1.385,-0.242,0.928,2.546,0.166,1.329,0.558,-0.041,1.563,0.228,1.249
03/2015,1.033,0.165,0.433,0.381,0.544,-1.116,0.355,0.081,-0.326,-0.947,-4.236
04/2015,6.696,3.729,-4.775,1.500,2.796,1.446,-1.212,2.434,1.919,-0.302,1.155
05/2015,-1.726,-0.450,0.950,0.540,-2.551,-2.965,-0.638,-2.517,-0.080,-1.722,-0.177
06/2015,-3.192,-1.377,-3.298,-0.786,-1.901,-2.417,-0.471,-0.581,-1.751,0.152,2.456
07/2015,-5.029,-0.730,-2.052,0.201,-3.660,-0.189,-0.648,-2.445,-3.821,-3.495,1.633
08/2015,-5.402,-6.129,-3.879,-2.610,-2.579,-7.333,-3.411,-5.645,-3.889,-2.807,-5.742
09/2015,-1.025,-1.132,-6.183,-3.340,0.756,-1.518,-0.874,-1.985,-1.321,-2.535,-1.081
10/2015,3.768,3.542,6.369,4.168,4.642,2.212,1.080,3.870,2.355,2.256,3.042
11/2015,-1.503,-1.507,-0.341,-0.450,-1.551,0.549,-1.602,-2.478,-1.487,-1.567,-4.299
12/2015,-0.572,0.329,2.141,0.093,-1.250,0.142,0.279,0.126,-0.338,-3.493,2.206
01/2016,-5.909,-4.240,0.713,-3.730,-2.529,1.051,-2.207,-4.143,-2.040,1.718,-2.312
02/2016,-1.116,-0.104,2.576,-1.222,-1.091,-0.984,-0.222,1.396,1.741,1.756,-1.999
03/2016,4.882,3.848,1.246,1.651,5.665,5.058,5.108,4.789,3.527,2.946,0.663
04/2016,-0.090,0.317,-0.666,1.970,-0.193,-1.157,-1.455,-0.159,-2.370,-0.121,3.231
05/2016,-0.435,-0.801,-1.988,-0.447,-2.087,-3.549,1.840,-2.215,0.754,0.038,0.308
06/2016,-0.227,0.211,3.802,-1.142,1.705,1.677,1.935,1.856,1.407,0.830,0.965
07/2016,1.422,2.872,2.439,2.726,2.579,-0.382,0.894,0.035,2.345,3.028,1.155
08/2016,3.082,0.300,0.624,0.152,1.360,0.829,-0.855,-1.547,0.510,1.288,0.124
09/2016,0.969,1.372,0.845,0.362,0.589,-1.440,-2.535,0.688,1.080,-1.678,-1.152
10/2016,-0.854,-0.509,-0.009,0.570,-1.615,-0.157,-1.215,-1.836,0.622,-1.004,-1.177
11/2016,-0.534,-0.851,-5.784,-1.061,-1.145,-4.054,-5.105,0.908,-1.013,-0.652,-1.734
12/2016,-1.816,-2.882,2.209,0.369,-0.308,0.091,0.333,-0.898,-0.559,0.852,-1.930
01/2017,2.852,3.231,0.023,1.584,3.210,1.312,2.427,3.444,2.100,1.583,1.184
02/2017,1.510,0.836,1.012,0.469,1.291,0.640,-0.508,0.988,1.982,0.169,0.506
03/2017,0.915,1.154,1.667,-0.486,2.193,1.186,0.462,0.953,0.753,1.497,2.266
04/2017,1.140,1.262,1.319,0.452,0.433,1.625,2.373,-0.061,0.883,-0.342,-0.007
05/2017,2.152,1.058,0.722,1.263,3.360,0.383,1.026,1.230,1.038,0.432,-0.325
06/2017,0.658,0.120,1.048,0.411,0.354,-0.176,-0.537,0.497,1.372,0.499,1.213
07/2017,3.473,1.581,0.028,0.868,1.366,0.038,0.934,2.151,0.531,1.177,-0.129
08/2017,1.688,0.576,-0.207,-0.035,-1.095,0.300,-1.137,-0.847,0.410,1.594,0.949
09/2017,0.364,-0.304,-0.341,0.548,0.848,0.101,1.388,-0.605,-1.514,1.186,1.760
10/2017,1.689,0.141,-0.003,1.952,3.504,-0.220,0.408,2.108,2.671,1.059,3.169
11/2017,0.667,1.321,-0.210,1.272,0.000,0.712,0.167,1.588,-1.466,0.772,7.013
12/2017,0.818,1.153,3.561,0.254,0.824,2.410,2.099,0.239,0.511,2.059,3.126
01/2018,5.109,1.975,1.287,1.944,1.525,3.243,-0.582,2.653,3.180,3.529,4.272
02/2018,-2.876,-1.444,-1.340,-0.673,-2.948,-0.664,-2.110,-0.886,-1.333,0.886,-0.104
03/2018,-1.453,-1.317,-3.320,-1.265,1.006,0.632,-2.815,-0.645,0.556,-1.038,2.853
04/2018,-0.021,1.309,-2.256,0.288,1.178,-0.459,-0.566,2.342,-2.032,-0.426,-4.018
05/2018,0.627,-0.060,-0.841,-0.459,-2.338,-3.741,-2.170,-3.222,-0.071,-2.254,-4.334
06/2018,-2.523,-2.327,-3.404,-1.156,-3.120,-1.429,-2.590,-3.361,-1.182,-4.737,0.023
07/2018,-1.379,0.699,1.125,0.170,-0.672,1.985,3.123,0.484,1.509,3.251,-0.453
08/2018,-1.728,-1.152,0.350,0.082,0.804,0.227,1.023,-1.201,0.211,0.758,0.147
09/2018,-0.729,-0.310,-0.686,0.999,0.080,-1.076,-3.829,0.854,0.095,1.253,0.688
10/2018,-5.305,-5.140,-1.414,-3.846,-6.722,-2.894,-0.452,-3.925,-5.451,-3.367,-4.559
11/2018,3.067,2.948,4.998,0.160,1.431,-0.502,2.016,1.236,-0.323,-0.132,1.229
12/2018,-2.717,0.008,0.335,-3.067,-1.350,0.622,0.629,-0.511,-0.610,-1.322,-2.057
01/2019,4.553,3.221,3.578,2.568,4.242,0.572,3.585,2.393,0.741,4.013,1.674
02/2019,1.472,2.469,-2.032,-0.031,-0.860,0.753,-1.242,-0.097,2.016,-0.296,3.564
03/2019,1.043,0.378,0.270,-0.149,-1.431,-1.611,0.799,0.278,0.980,-0.962,0.003
04/2019,0.947,0.446,0.255,0.595,0.176,-0.455,0.489,2.524,1.689,0.603,-0.205
05/2019,-6.314,-3.475,-1.788,-1.770,-4.245,-0.481,0.244,-4.766,-3.518,-1.055,-1.111
06/2019,3.041,2.894,2.038,1.539,3.533,1.125,0.898,4.252,1.782,3.970,-0.570
07/2019,-0.406,-1.471,0.570,0.057,-2.775,-0.948,0.250,-0.629,0.674,-1.146,1.709
08/2019,-1.903,-3.923,-1.652,-0.457,-2.238,-1.819,-1.527,-3.141,-1.207,-1.332,-0.450
09/2019,-0.109,-0.484,-1.268,1.360,2.909,-0.518,-0.865,0.501,1.684,-0.504,0.351
10/2019,1.711,1.974,1.163,2.056,1.946,0.387,2.015,2.264,3.391,-0.759,-0.137
11/2019,0.762,-0.764,-1.247,0.239,-0.655,-0.961,-1.513,-0.705,0.661,-0.106,-0.840
12/2019,3.459,1.690,2.935,0.841,3.692,1.654,0.683,1.268,3.011,0.359,-1.253
01/2020,-2.146,-1.980,-1.222,-0.597,-2.377,-1.766,-3.625,-1.590,-2.089,-3.904,-1.527
02/2020,0.420,-0.642,-5.967,-4.183,-3.293,-2.869,-2.645,-3.215,-0.829,-5.833,-3.078
03/2020,-2.965,-5.904,-15.133,-3.657,-5.463,-5.295,-10.898,-9.648,-6.403,-8.533,-11.557
04/2020,2.653,3.004,4.839,2.283,3.418,2.122,3.725,3.480,5.728,6.067,6.320
05/2020,-0.355,-4.068,1.413,2.495,0.963,1.986,0.659,-1.922,-1.109,1.819,5.774
06/2020,3.486,4.267,2.511,-0.063,3.276,1.057,3.292,1.510,3.597,0.888,-1.930
07/2020,3.703,-0.368,1.816,-0.694,3.037,3.439,-1.274,-0.103,6.047,-1.280,-0.961
08/2020,2.363,3.201,1.043,3.178,0.895,-1.659,0.342,0.420,-0.935,-1.173,3.220
09/2020,-1.260,-2.516,-6.058,0.110,1.237,-0.903,-0.339,-1.363,0.769,-4.387,0.998
10/2020,2.231,-0.529,3.589,-0.706,0.278,-0.732,3.308,-1.287,0.562,-1.020,2.786
11/2020,1.181,4.484,5.987,5.104,7.146,3.038,3.165,7.359,4.149,9.649,2.281
12/2020,1.178,2.138,2.332,1.711,6.306,1.582,2.189,1.143,4.254,1.217,3.241
01/2021,3.085,0.856,-1.216,-0.439,0.246,-1.845,-3.608,0.388,2.743,0.023,-1.417
